context_size_blocks,mode,category,exact_match_pct,f1_score_pct,gold_block_recall_pct,count
200,predictor_cached,E,26.666666666666668,50.0,100.0,30
200,predictor_cached,F,30.0,48.88888888888889,100.0,30
200,predictor_cached,G,0.0,73.0671320965299,100.0,30
200,predictor_cached,H,3.3333333333333335,68.82154882154884,93.33333333333333,30
200,predictor_cached,I,93.33333333333333,93.33333333333333,100.0,30
200,predictor_cached,J,83.33333333333334,83.33333333333334,100.0,30
200,predictor_otf,A,100.0,100.0,100.0,30
200,predictor_otf,B,93.33333333333333,93.33333333333333,100.0,30
200,predictor_otf,C,100.0,100.0,100.0,30
200,predictor_otf,D,90.0,92.5,100.0,30
200,predictor_otf,E,26.666666666666668,50.0,100.0,30
200,predictor_otf,F,30.0,48.88888888888889,100.0,30
200,predictor_otf,G,0.0,73.0671320965299,100.0,30
200,predictor_otf,H,3.3333333333333335,68.82154882154884,93.33333333333333,30
200,predictor_otf,I,93.33333333333333,93.33333333333333,100.0,30
200,predictor_otf,J,83.33333333333334,83.33333333333334,100.0,30
200,random,A,0.0,26.666666666666668,0.0,30
200,random,B,3.3333333333333335,26.666666666666668,10.0,30
200,random,C,3.3333333333333335,30.0,0.0,30
200,random,D,0.0,31.166666666666664,6.666666666666667,30
200,random,E,10.0,41.111111111111114,20.0,30
200,random,F,0.0,33.33333333333333,16.666666666666664,30
200,random,G,0.0,22.981634022866047,13.333333333333334,30
200,random,H,0.0,3.172198172198173,16.666666666666664,30
200,random,I,3.3333333333333335,37.777777777777786,10.0,30
200,random,J,0.0,26.666666666666668,16.666666666666664,30
400,full_context,A,0.0,33.50414078674948,100.0,30
400,full_context,B,0.0,36.021394064872325,100.0,30
400,full_context,C,0.0,40.0,100.0,30
400,full_context,D,0.0,21.390324650452442,100.0,30
400,full_context,E,0.0,19.316895664721756,100.0,30
400,full_context,F,0.0,5.145440938989325,100.0,30
400,full_context,G,0.0,21.39383866641107,100.0,30
400,full_context,H,0.0,22.840722495894912,100.0,30
