question_id,category,project,context_size_blocks,mode,oom,exact_match,f1_score,numeric_preservation,gold_block_recall,suffix_error,abstention_correct,is_abstention,ttft_ms,decode_ms,e2e_ms,selector_latency_ms,tokens_per_sec_in,tokens_per_sec_out,effective_context_tokens_per_sec,kept_blocks_count,token_reduction_pct
Q0230,H,HESTIA-230,400,oracle,False,False,0.8,True,True,False,True,False,41.82539999965229,1141.9128000015917,1183.738200001244,0.0,11356.735380987362,56.0463110667564,43252.807081790714,4,99.0
Q0222,H,ZENITH-222,400,oracle,False,False,0.8571428571428571,False,True,False,True,False,40.29190000073868,1151.0019000015745,1191.2938000023132,0.0,11788.969991270993,55.603730975520065,42978.48272181101,4,99.0
Q0219,H,VEGA-219,400,oracle,False,False,0.8,True,True,False,True,False,40.98109999904409,1107.2778000016115,1148.2589000006556,0.0,11541.905903234247,57.79940679737899,44589.247250746994,4,99.0
Q0235,H,ECLIPSE-235,400,oracle,False,False,0.5454545454545454,False,True,False,True,False,40.02050000053714,1145.5072999997356,1185.5278000002727,0.0,11868.917179785978,55.870442728749765,43187.51529908301,4,99.0
Q0239,H,MYSTIC_239_VOID,400,oracle,False,False,0.12121212121212122,True,True,False,False,True,41.22719999941182,1126.46130000212,1167.6885000015318,0.0,10381.49571171717,56.81508987470724,43847.31030573037,1,99.75
Q0232,H,BEACON-232,400,oracle,False,False,0.30769230769230765,False,True,False,True,False,60.6727000013052,1064.278199999535,1124.9509000008402,0.0,7795.927987213768,60.13465276280954,45513.097504932666,4,99.0
Q0233,H,CHRONOS-233,400,oracle,False,True,1.0,True,True,False,True,False,41.42940000019735,1220.1122000005853,1261.5416000007826,0.0,11368.738142424376,52.45419232753291,40585.2648854134,4,99.0
Q0234,H,MYSTIC_234_VOID,400,oracle,False,False,0.12121212121212122,True,True,False,False,True,41.681399998196866,1200.6843000017398,1242.3656999999366,0.0,10268.369105128791,53.30293733324177,41211.697972668284,1,99.75
Q0227,H,COMET-227,400,oracle,False,False,0.8,True,True,False,True,False,40.32359999837354,1168.7216999998782,1209.0452999982517,0.0,11779.70220960329,54.76068425871332,42347.46208440166,4,99.0
Q0216,H,SIRIUS-216,400,oracle,False,False,0.5454545454545454,False,True,False,True,False,42.10800000146264,1207.1658999993815,1249.2739000008442,0.0,11280.516766018349,53.01673945563969,40983.80667359288,4,99.0
Q0262,I,MYSTIC_262_VOID,400,oracle,False,False,0.0,True,True,False,False,True,40.965600001072744,1084.2061000003014,1125.1717000013741,0.0,10691.897591846093,57.184699477325175,45504.1661640952,1,99.75
Q0240,I,JUPITER-240,400,oracle,False,True,1.0,True,True,False,True,False,40.52099999898928,945.4533999996784,985.9743999986676,0.0,9871.424693615094,55.00006663471483,51928.32592820786,1,99.75
Q0253,I,WARP-253,400,oracle,False,True,1.0,True,True,False,True,False,40.493699998478405,909.7691999995732,950.2628999980516,0.0,9828.68940143665,57.15735375524297,53879.82630922977,1,99.75
Q0258,I,NEBULA-258,400,oracle,False,True,1.0,True,True,False,True,False,42.35530000005383,936.3840000005439,978.7393000005977,0.0,9443.918470639841,55.53277287947017,52312.19385996734,1,99.75
Q0245,I,ORION-245,400,oracle,False,True,1.0,True,True,False,True,False,41.935699999157805,969.3900999991456,1011.3257999983034,0.0,9490.72031724743,53.641975506089686,50626.613105377015,1,99.75
Q0266,I,CHRONOS-266,400,oracle,False,True,1.0,True,True,False,True,False,48.7433999987843,901.3803999987431,950.1237999975274,0.0,8206.239203871219,57.68929521883603,53887.714422197656,1,99.75
Q0265,I,BEACON-265,400,oracle,False,True,1.0,True,True,False,True,False,54.59950000295066,1133.7174999971467,1188.3170000000973,0.0,7326.074414204951,45.866805443270366,43086.14620509158,1,99.75
Q0251,I,URANUS-251,400,oracle,False,True,1.0,True,True,False,True,False,61.688000001595356,1054.6313999984704,1116.3194000000658,0.0,6484.243288640502,49.30632636205922,45865.009602087885,1,99.75
Q0249,I,SIRIUS-249,400,oracle,False,True,1.0,True,True,False,True,False,70.65640000291751,1171.048799998971,1241.7052000018884,0.0,5689.505833631501,44.40463967005106,41233.619702907046,1,99.75
Q0267,I,DAWN-267,400,oracle,False,True,1.0,True,True,False,True,False,58.66560000140453,1221.6754999972181,1280.3410999986227,0.0,6784.21425827864,42.564494417804404,39989.34346484314,1,99.75
Q0243,I,METEOR-243,400,oracle,False,True,1.0,True,True,False,True,False,65.1149000004807,1041.4621000018087,1106.5770000022894,0.0,6142.987242505894,49.92980541481989,46268.80912931867,1,99.75
Q0259,I,COSMOS-259,400,oracle,False,True,1.0,True,True,False,True,False,40.88520000004792,925.5185000001802,966.4037000002281,0.0,9783.491336706955,56.18472240154019,52979.92960911461,1,99.75
Q0254,I,XENON-254,400,oracle,False,True,1.0,True,True,False,True,False,65.30290000227978,932.2252999991179,997.5282000013976,0.0,6125.30224516883,55.78050713711504,51326.86975659261,1,99.75
Q0264,I,APEX-264,400,oracle,False,True,1.0,True,True,False,True,False,41.23460000118939,1013.9400000007299,1055.1746000019193,0.0,9700.591250756941,51.28508590248197,48522.775282789094,1,99.75
Q0252,I,VEGA-252,400,oracle,False,True,1.0,True,True,False,True,False,48.748600001999876,918.6943999993673,967.4430000013672,0.0,8164.337026779689,56.60206484336447,52923.01458579745,1,99.75
Q0263,I,HESTIA-263,400,oracle,False,True,1.0,True,True,False,True,False,42.29459999987739,916.8452999983856,959.139899998263,0.0,9457.472112306525,56.7162202828455,53381.15951603382,1,99.75
Q0260,I,MYSTIC_260_VOID,400,oracle,False,False,0.0,True,True,False,False,True,39.77469999881578,1098.727600001439,1138.5023000002548,0.0,10936.600402088548,56.428909221829684,44971.36281585776,1,99.75
Q0244,I,NEXUS-244,400,oracle,False,True,1.0,True,True,False,True,False,82.54809999925783,992.6517000021704,1075.1998000014282,0.0,4845.6596820956065,52.384940256372204,47619.05647669576,1,99.75
Q0257,I,SAKURA-257,400,oracle,False,True,1.0,True,True,False,True,False,41.17449999830569,909.0162000029522,950.1907000012579,0.0,9714.750634894408,57.204701082149164,53883.92035402179,1,99.75
Q0246,I,PHOENIX-246,400,oracle,False,True,1.0,True,True,False,True,False,40.8573000022443,942.9254999995464,983.7828000017907,0.0,9839.122995839618,55.14751695656233,52044.0080878694,1,99.75
Q0255,I,ZENITH-255,400,oracle,False,True,1.0,True,True,False,True,False,40.06639999715844,909.3215000029886,949.387900000147,0.0,9983.427511040885,57.185494899030864,53929.48446045296,1,99.75
Q0261,I,POLARIS-261,400,oracle,False,True,1.0,True,True,False,True,False,45.43980000016745,911.7794999983744,957.2192999985418,0.0,8802.855646339243,57.03133268525198,53488.26543727022,1,99.75
Q0248,I,RADAR-248,400,oracle,False,True,1.0,True,True,False,True,False,46.60900000089896,1061.07129999873,1107.680299999629,0.0,8539.123345111968,52.776849208971186,46222.72328939781,1,99.75
Q0269,I,FALCON-269,400,oracle,False,True,1.0,True,True,False,True,False,40.56180000043241,1004.6490999993694,1045.2108999998018,0.0,9861.495298426988,51.75936553372978,48985.329180943016,1,99.75
Q0256,I,VANTAGE-256,400,oracle,False,True,1.0,True,True,False,True,False,67.78620000113733,1039.9586999992607,1107.744900000398,0.0,5900.906084030212,50.00198565581207,46220.0277338055,1,99.75
Q0268,I,ECLIPSE-268,400,oracle,False,True,1.0,True,True,False,True,False,42.43510000014794,1050.394399997458,1092.829499997606,0.0,9473.289800155968,49.505214422435834,46850.85825383755,1,99.75
Q0250,I,TITAN-250,400,oracle,False,True,1.0,True,True,False,True,False,40.53820000262931,1000.8697999983269,1041.4080000009562,0.0,9867.23633447109,51.95480970660412,49164.208456198714,1,99.75
Q0241,I,KRONOS-241,400,oracle,False,True,1.0,True,True,False,True,False,40.314999998372514,955.4969999990135,995.811999997386,0.0,9921.865311078946,54.4219395770512,51415.32739124895,1,99.75
Q0242,I,LUNA-242,400,oracle,False,True,1.0,True,True,False,True,False,40.849599998182384,901.8095999999787,942.6591999981611,0.0,9792.017547731144,57.661839040082555,54314.4330422913,1,99.75
Q0247,I,QUASAR-247,400,oracle,False,True,1.0,True,True,False,True,False,43.15889999998035,940.4926999995951,983.6515999995754,0.0,9268.076804556698,55.29016865311383,52050.94974686373,1,99.75
Q0278,J,ORION-278,400,oracle,False,True,1.0,True,True,False,True,False,40.832000002410496,1086.4368999973522,1127.2688999997627,0.0,8939.067397591409,55.226401091629185,45419.50904527817,1,99.75
Q0283,J,TITAN-283,400,oracle,False,True,1.0,True,True,False,True,False,46.63540000183275,1181.0993999970378,1227.7347999988706,0.0,7869.558318049745,51.646796196961056,41702.81725340611,1,99.75
Q0292,J,MYSTIC_292_VOID,400,oracle,False,False,0.0,True,True,False,False,True,41.09729999981937,1069.8240999990958,1110.9213999989151,0.0,10584.63694699924,57.953452347963,46087.86904280537,1,99.75
Q0286,J,WARP-286,400,oracle,False,True,1.0,True,True,False,True,False,70.65109999894048,1528.3049999998184,1598.9560999987589,0.0,5166.232372963389,39.259179286861674,32020.891630508017,1,99.75
Q0294,J,MYSTIC_294_VOID,400,oracle,False,False,0.0,True,True,False,False,True,59.075399996800115,1585.9479999999166,1645.0233999967168,0.0,7312.68853064727,39.093337234261945,31124.17732179505,1,99.75
Q0275,J,LUNA-275,400,oracle,False,True,1.0,True,True,False,True,False,41.98009999890928,1824.7574000015447,1866.737500000454,0.0,8742.237393658788,33.4291013150287,27427.53065173199,1,99.75
